DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/PIL/__init__.py first seen with mtime 1734684349.8182154
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/rest_framework_simplejwt/views.py first seen with mtime 1734684350.197382
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/db/models/fields/related_lookups.py first seen with mtime 1734684350.067382
DEBUG 2024-12-20 10:53:49,296 autoreload File /usr/lib/python3.10/string.py first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/core/checks/model_checks.py first seen with mtime 1734684350.0565488
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/views/__init__.py first seen with mtime 1734684350.0890489
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/user/apps.py first seen with mtime 1733840595.70532
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/db/backends/postgresql/introspection.py first seen with mtime 1734684350.067382
DEBUG 2024-12-20 10:53:49,296 autoreload File /usr/lib/python3.10/dis.py first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,296 autoreload File /usr/lib/python3.10/asyncio/transports.py first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,296 autoreload File /usr/lib/python3.10/copyreg.py first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,296 autoreload File /usr/lib/python3.10/lib-dynload/termios.cpython-310-x86_64-linux-gnu.so first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,296 autoreload File /usr/lib/python3.10/email/mime/text.py first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/corsheaders/middleware.py first seen with mtime 1734684349.8290486
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/utils/inspect.py first seen with mtime 1734684350.0890489
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/contrib/messages/constants.py first seen with mtime 1734684350.002382
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/utils/regex_helper.py first seen with mtime 1734684350.0890489
DEBUG 2024-12-20 10:53:49,296 autoreload File /usr/lib/python3.10/asyncio/runners.py first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/psycopg2/extensions.py first seen with mtime 1734684350.1648822
DEBUG 2024-12-20 10:53:49,296 autoreload File /usr/lib/python3.10/_markupbase.py first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/template/context.py first seen with mtime 1734684350.0782154
DEBUG 2024-12-20 10:53:49,296 autoreload File /usr/lib/python3.10/concurrent/futures/thread.py first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/core/files/storage/base.py first seen with mtime 1734684350.0565488
DEBUG 2024-12-20 10:53:49,296 autoreload File /usr/lib/python3.10/struct.py first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,296 autoreload File /usr/lib/python3.10/asyncio/base_events.py first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/http/request.py first seen with mtime 1734684350.0782154
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/db/models/sql/query.py first seen with mtime 1734684350.0782154
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/utils/log.py first seen with mtime 1734684350.0890489
DEBUG 2024-12-20 10:53:49,296 autoreload File /usr/lib/python3.10/unittest/loader.py first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/views/i18n.py first seen with mtime 1734684350.0890489
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/contrib/admin/apps.py first seen with mtime 1734684349.8615487
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/forms/models.py first seen with mtime 1734684350.0782154
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/contrib/messages/utils.py first seen with mtime 1734684350.002382
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/views/static.py first seen with mtime 1734684350.0890489
DEBUG 2024-12-20 10:53:49,296 autoreload File /usr/lib/python3.10/email/mime/message.py first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/core/files/storage/__init__.py first seen with mtime 1734684350.0565488
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/utils/version.py first seen with mtime 1734684350.0890489
